kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
wcs,111880,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,sexdentata,,,Skan,Accepted,1,0,H,,,449492-1
wcs,111890,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,stelligera,,,Wall. ex Benth.,Accepted,1,0,H,,,
wcs,111912,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,urticifolia,,,(Vahl) Sm.,Accepted,1,0,H,,,
wcs,111936,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leucas,zeylanica,,,(L.) W.T.Aiton,Accepted,2,0,H,,,
wcs,112009,Plantae,Angiospermae,Eudicots,Gentianales,Apocynaceae,Leuconotis,eugeniifolia,,,(Wall. ex G.Don) A.DC.,Accepted,1,0,H,,,79771-1
wcs,112265,Plantae,Angiospermae,monocots,Arecales,Arecaceae,Licuala,spinosa,,,Wurmb,Accepted,1,1,H,,,
wcs,112695,Plantae,Angiospermae,monocots,Asparagales,Orchidaceae,Liparis,bowkeri,,,Harv.,Accepted,1,0,H,,,640760-1
wcs,112965,Plantae,Angiospermae,monocots,Asparagales,Orchidaceae,Liparis,loeselii,,,(L.) Rich.,Accepted,1,0,H,,,641004-1
wcs,113145,Plantae,Angiospermae,monocots,Asparagales,Orchidaceae,Liparis,remota,,,J.Stewart & Schelpe,Accepted,1,0,H,,,898096-1
wcs,113316,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,alba,,,(Mill.) N.E.Br. ex Britton & P.Wilson,Accepted,10,0,H,76HT054LK1,,141020-2
wcs,113324,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,alnifolia,,,Schauer,Accepted,2,0,H,,,863508-1
wcs,113372,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,brachypoda,,,(Hayek) Tronc.,Accepted,0,1,H,,,
wcs,113398,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,carviodora,,,Meikle,Accepted,1,0,H,,,863560-1
wcs,113404,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,chevalieri,,,Moldenke,Accepted,1,0,H,,,863566-1
wcs,113439,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,dulcis,,,Trevir.,Accepted,4,5,H,,,863599-1
wcs,113497,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,grata,,,Schauer,Accepted,0,3,H,,,
wcs,113521,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,hirsuta,,,L.f.,Accepted,1,0,H,,,863659-1
wcs,113540,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,integrifolia,,,(Griseb.) Hieron.,Accepted,1,0,H,,,
wcs,113550,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,javanica,,,(Burm.f.) Spreng.,Accepted,4,0,H,,,863680-1
wcs,113552,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,junelliana,,,(Moldenke) Tronc.,Accepted,1,0,H,,,
wcs,113612,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,micromera,,,Schauer,Accepted,1,0,H,,,863726-1
wcs,113625,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,multiflora,,,Moldenke,Accepted,3,0,H,,,863736-1
wcs,113651,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lippia,oatesii,,,Rolfe,Accepted,1,0,H,,,863747-1
